id,date,text
1272806885918457859,2020-06-16 08:23:03+00:00,"Etwa 30 Menschen sitzen vor #RotesRathaus und fordern von @RegBerlin &amp; @derInnensenator ein #LandesAufnahmeprogramm für Geflüchtete.

#b1606 #berlin #mitte #leaveNoOneBehind #moria #RefugeesWelcome #wirHabenPlatz #seebrücke @Berlin_Hilft @wellcomeunited @_seebruecke_ @seebrueckeB https://t.co/U9llR356G2"
1245702911365197824,2020-04-02 13:21:32+00:00,"I have, we have learned so much from each other. Now that #COVIDー19 calls for solidarty and support. It calls for taking care of each other. Now is the time to ask serious questions about #DirectProvision and the lives of #AsylumSeekers /8"
1304287145637576707,2020-09-11 05:14:22+00:00,@cianisse @florianklenk Eine wirksame Verfolgung ist mit der Niederlassungsfreiheit in der EU schwierig. Ebenso ist das Dublin Abkommen unbrauchbar und führt zu Unmenschlichkeit bei der vorgegebenen Abhandlung der Asylanträge. Also zwei EU Probleme und arme Flüchtlinge
1215302839473524744,2020-01-09 16:02:30+00:00,"Vulnerable #refugee children in desperate need of protection will suffer greatly as a result of this inexplicable decision. 

This is not the Britain I know and love 💔 https://twitter.com/HouseofCommons/status/1214927927650983936"
1313046393859313664,2020-10-05 09:20:30+00:00,"@dw_learngerman Den Lehrerin und Lehrer, die sie nach dem angeblichen Putschversuch entlassen wurden und sie sind völlig unschuldig. Meisten davon sind im Gefängnis, trotzdem sind sie völlig unschuldig. Welche sind in Europa als Flüchtling wie ich angekommen."
1306347003744595973,2020-09-16 21:39:31+00:00,"@nasanasal Diese Sichtweise dominiert m. E. auch in griechischen Medien, wo die ganze Lesbossache als Teil einer türkischen Kriegsführung gesehen wird. Und Merkel so dusselig ist, sich zu Erdogans Werkzeug zu machen. #Moira #Lesbos #Samos #Flüchtlinge #Merkel"
1265778096227135493,2020-05-27 22:53:09+00:00,"@maischberger @_FriedrichMerz @ChristinaBerndt @DasErste #Lesbos: April 2020
Marodierende #Migranten vernichten 5.000 Olivenbäume https://urlzs.com/urFgf 
Ihr habt die Pflicht, darüber zu berichten.
Und Ihr dürft Lösungen diskutieren.
Europas Lösung der #Migrationskrise &gt; https://goo.gl/qtkTvz &lt; #EU 
#Moria #Coronakrise #Maischberger"
1192785338676023296,2019-11-08 12:46:00+00:00,"Welcome to the family!! 🤗


Thanks to @eu_echo funding, @InsanPS will provide psychosocial support to refugees in Turkey 👏👏👏 


Our innovative LIFT project, implemented by @giz_gmbh, continues to welcome new local partners in Turkey. #EUsolidarity"
1263152570211672064,2020-05-20 17:00:15+00:00,"Unser neuer Tank ist drin! Endlich genügend Reichweite, um retten zu können. Richard und Tobias planen jetzt, wie die Leitungen gelegt werden müssen. 
#wirbaueneinschiff mit @SEENOTRETTUNG 
#seenotrettung https://t.co/THJ5qlxlJY"
1264440912626753541,2020-05-24 06:19:40+00:00,"#Wiederaufbaufonds ja, #Gemeinschaftsschulden nein!

Für einen Schritt zur #Fiskalunion ist nicht die Zeit. 
Die #EU muss den Wiederaufbaufonds durch direkte Budgetbeiträge der Mitglieder finanzieren, nicht durch Gemeinschaftsschulden. 

#Merkel #Macron #Kurz @faznet @FAZ_Politik https://twitter.com/FAZ_Politik/status/1264428455006961665"
